型号,品牌,屏幕比例,屏幕尺寸,宽度,厚度,重量,电池,发布年份,SoC,类型,,,,,,
P30,HUAWEI,19.5:9,6.1,71.4 ,7.6 ,165 ,3650 ,2019 ,麒麟980,直板,,,,,,
P40,HUAWEI,19.5:9,6.1,71.1 ,9.0 ,175 ,3800 ,2020 ,麒麟990 5G,直板,,,,,,
Magic 8 Pro Air,HONOR,19.5:9,6.3,71.9 ,6.1 ,155 ,5500 ,2026 ,天玑9500,直板,,,,,,
13T,ONEPLUS,19.5:9,6.3,71.7 ,8.2 ,185 ,6200 ,2025 ,骁龙8E,直板,,,,,,
15T,ONEPLUS,19.5:9,6.3,71.8 ,8.5 ,194 ,7500 ,2026 ,骁龙8EV,直板,,,,,,
Find X8s,OPPO,19.5:9,6.3,71.8 ,7.7 ,179 ,5700 ,2025 ,天玑9400+,直板,,,,,,
S30 Pro Mini,VIVO,19.5:9,6.3,71.8 ,8.0 ,186 ,6500 ,2025 ,天玑9300+,直板,,,,,,
S50 Pro Mini,VIVO,19.5:9,6.3,71.8 ,8.0 ,191 ,6500 ,2025 ,骁龙8V,直板,,,,,,
X200 Pro Mini,VIVO,19.5:9,6.3,71.8 ,8.2 ,187 ,5700 ,2024 ,天玑9400,直板,,,,,,
Galaxy Z Flip,SAMSUNG,22:9,6.7 ,73.6 ,17.3 ,183 ,3300 ,2020 ,骁龙855+,折叠,,,,,,
Galaxy Z Flip 5G,SAMSUNG,22:9,6.7 ,73.6 ,17.3 ,183 ,3300 ,2020 ,骁龙865+,折叠,,,,,,
Galaxy Z Flip3 5G,SAMSUNG,22:9,6.7 ,72.2 ,17.1 ,183 ,3300 ,2021 ,骁龙888,折叠,,,,,,
Galaxy Z Flip4,SAMSUNG,22:9,6.7 ,71.9 ,17.1 ,187 ,3700 ,2022 ,骁龙8,折叠,,,,,,
Galaxy Z Flip5,SAMSUNG,22:9,6.7 ,71.9 ,15.1 ,187 ,3700 ,2023 ,骁龙8II,折叠,,,,,,
Galaxy Z Flip6,SAMSUNG,22:9,6.7 ,71.9 ,14.9 ,187 ,4000 ,2024 ,骁龙8III,折叠,,,,,,
Galaxy Z Flip7 FE,SAMSUNG,22:9,6.7 ,71.9 ,14.9 ,187 ,4000 ,2025 ,猎户座2400,折叠,,,,,,
Galaxy Z Flip7,SAMSUNG,22:9,6.7 ,75.2 ,13.7 ,188 ,4300 ,2025 ,猎户座2500,折叠,,,,,,
Razr 2019,moto,22:9,6.2 ,72.0 ,14.0 ,205 ,2510 ,2019 ,骁龙710,折叠,,,,,,
Razr 5G,moto,22:9,6.2 ,72.6 ,16.0 ,192 ,2800 ,2020 ,骁龙765G,折叠,,,,,,
Razr 2022,moto,20:9,6.7 ,79.8 ,17.0 ,200 ,3500 ,2022 ,骁龙888,折叠,,,,,,
Razr 40,moto,22:9,6.9 ,74.0 ,15.8 ,189 ,4200 ,2023 ,骁龙7,折叠,,,,,,
Razr 50,moto,22:9,6.9 ,74.0 ,15.9 ,188 ,4200 ,2024 ,天玑7300X,折叠,,,,,,
Razr 60,moto,22:9,6.9 ,74.0 ,15.9 ,188 ,4500 ,2025 ,天玑7400X,折叠,,,,,,
Razr 70,moto,22:9,6.9 ,74.0 ,15.9 ,188 ,4800 ,2026 ,天玑7450X,折叠,,,,,,
Razr 40 Ultra,moto,22:9,6.9 ,74.0 ,15.1 ,189 ,3800 ,2023 ,骁龙8+,折叠,,,,,,
Razr 50 Ultra,moto,22:9,6.9 ,74.0 ,15.3 ,189 ,4000 ,2024 ,骁龙8sIII,折叠,,,,,,
Razr 60 Pro,moto,22:9,6.9 ,74.0 ,15.3 ,189 ,4300 ,2025 ,骁龙8sIII,折叠,,,,,,
